County,State,Population,Income,State_Abrev,FIPS_Code
autauga county,alabama,59095,62660.0,al,1001
baldwin county,alabama,239294,64346.0,al,1003
barbour county,alabama,24964,36422.0,al,1005
bibb county,alabama,22477,54277.0,al,1007
blount county,alabama,59041,52830.0,al,1009
bullock county,alabama,10320,29063.0,al,1011
butler county,alabama,18884,45236.0,al,1013
calhoun county,alabama,115972,50977.0,al,1015
chambers county,alabama,34541,47232.0,al,1017
cherokee county,alabama,24996,43475.0,al,1019
chilton county,alabama,45274,56243.0,al,1021
choctaw county,alabama,12533,38581.0,al,1023
clarke county,alabama,22760,44108.0,al,1025
clay county,alabama,14190,45163.0,al,1027
cleburne county,alabama,15103,48333.0,al,1029
coffee county,alabama,54174,59034.0,al,1031
colbert county,alabama,57474,52017.0,al,1033
conecuh county,alabama,11328,37986.0,al,1035
coosa county,alabama,10450,50013.0,al,1037
covington county,alabama,37524,46186.0,al,1039
crenshaw county,alabama,13083,43103.0,al,1041
cullman county,alabama,89496,52690.0,al,1043
dale county,alabama,49342,50052.0,al,1045
dallas county,alabama,37619,34957.0,al,1047
dekalb county,alabama,71813,44037.0,al,1049
elmore county,alabama,89304,67597.0,al,1051
escambia county,alabama,36699,38464.0,al,1053
etowah county,alabama,103162,46984.0,al,1055
fayette county,alabama,16148,43960.0,al,1057
franklin county,alabama,32013,43633.0,al,1059
geneva county,alabama,26701,43581.0,al,1061
greene county,alabama,7629,28826.0,al,1063
hale county,alabama,14754,32294.0,al,1065
henry county,alabama,17459,55870.0,al,1067
houston county,alabama,107458,50222.0,al,1069
jackson county,alabama,52773,43785.0,al,1071
jefferson county,alabama,667820,58330.0,al,1073
lamar county,alabama,13689,43324.0,al,1075
lauderdale county,alabama,94043,50000.0,al,1077
lawrence county,alabama,33090,51712.0,al,1079
lee county,alabama,177218,57191.0,al,1081
limestone county,alabama,107517,70736.0,al,1083
lowndes county,alabama,9965,31961.0,al,1085
macon county,alabama,18895,39303.0,al,1087
madison county,alabama,395211,71153.0,al,1089
marengo county,alabama,18996,35379.0,al,1091
marion county,alabama,29246,44551.0,al,1093
marshall county,alabama,98228,52938.0,al,1095
mobile county,alabama,413073,51169.0,al,1097
monroe county,alabama,19648,32631.0,al,1099
montgomery county,alabama,227434,52511.0,al,1101
morgan county,alabama,123668,56128.0,al,1103
perry county,alabama,8355,27057.0,al,1105
pickens county,alabama,18801,43389.0,al,1107
pike county,alabama,32991,40106.0,al,1109
randolph county,alabama,21989,47081.0,al,1111
russell county,alabama,58722,44065.0,al,1113
st. clair county,alabama,92748,65070.0,al,1115
shelby county,alabama,226902,82592.0,al,1117
sumter county,alabama,12164,27099.0,al,1119
talladega county,alabama,81524,45400.0,al,1121
tallapoosa county,alabama,41023,50652.0,al,1123
tuscaloosa county,alabama,227007,57508.0,al,1125
walker county,alabama,64818,47442.0,al,1127
washington county,alabama,15147,44512.0,al,1129
wilcox county,alabama,10446,36385.0,al,1131
winston county,alabama,23652,46096.0,al,1133
apache county,arizona,65623,34788.0,az,4001
cochise county,arizona,126050,55077.0,az,4003
coconino county,arizona,145052,61888.0,az,4005
gila county,arizona,53589,51406.0,az,4007
graham county,arizona,39050,57105.0,az,4009
greenlee county,arizona,9404,67723.0,az,4011
la paz county,arizona,16408,39732.0,az,4012
maricopa county,arizona,4496588,72944.0,az,4013
mohave county,arizona,217692,49738.0,az,4015
navajo county,arizona,108147,46126.0,az,4017
pima county,arizona,1052030,59215.0,az,4019
pinal county,arizona,449557,65488.0,az,4021
santa cruz county,arizona,47883,45089.0,az,4023
yavapai county,arizona,242253,56170.0,az,4025
yuma county,arizona,206990,52563.0,az,4027
arkansas county,arkansas,16722,55022.0,ar,5001
ashley county,arkansas,18674,42683.0,ar,5003
baxter county,arkansas,42144,43530.0,ar,5005
benton county,arkansas,293692,76887.0,ar,5007
boone county,arkansas,37830,48625.0,ar,5009
bradley county,arkansas,10408,41972.0,ar,5011
calhoun county,arkansas,4741,55904.0,ar,5013
carroll county,arkansas,28435,53366.0,ar,5015
chicot county,arkansas,10019,33770.0,ar,5017
clark county,arkansas,21321,45351.0,ar,5019
clay county,arkansas,14350,39817.0,ar,5021
cleburne county,arkansas,25015,48400.0,ar,5023
cleveland county,arkansas,7514,48183.0,ar,5025
columbia county,arkansas,22672,41115.0,ar,5027
conway county,arkansas,20873,45812.0,ar,5029
craighead county,arkansas,112218,51788.0,ar,5031
crawford county,arkansas,60378,52057.0,ar,5033
crittenden county,arkansas,47525,46452.0,ar,5035
cross county,arkansas,16681,45247.0,ar,5037
dallas county,arkansas,6308,34337.0,ar,5039
desha county,arkansas,11090,33295.0,ar,5041
drew county,arkansas,17110,42891.0,ar,5043
faulkner county,arkansas,125106,54845.0,ar,5045
franklin county,arkansas,17173,42128.0,ar,5047
fulton county,arkansas,12145,36950.0,ar,5049
garland county,arkansas,100330,49985.0,ar,5051
grant county,arkansas,18090,62479.0,ar,5053
greene county,arkansas,46317,51367.0,ar,5055
hempstead county,arkansas,19694,43592.0,ar,5057
hot spring county,arkansas,33148,46724.0,ar,5059
howard county,arkansas,12698,39558.0,ar,5061
independence county,arkansas,37723,50028.0,ar,5063
izard county,arkansas,13911,45318.0,ar,5065
jackson county,arkansas,16811,39154.0,ar,5067
jefferson county,arkansas,65861,43720.0,ar,5069
johnson county,arkansas,25845,40628.0,ar,5071
lafayette county,arkansas,6163,36083.0,ar,5073
lawrence county,arkansas,16292,40746.0,ar,5075
lee county,arkansas,8619,29082.0,ar,5077
lincoln county,arkansas,13037,49474.0,ar,5079
little river county,arkansas,11944,57614.0,ar,5081
logan county,arkansas,21215,46570.0,ar,5083
lonoke county,arkansas,74722,62561.0,ar,5085
madison county,arkansas,16960,47862.0,ar,5087
marion county,arkansas,16978,41038.0,ar,5089
miller county,arkansas,42649,46610.0,ar,5091
mississippi county,arkansas,39661,45740.0,ar,5093
monroe county,arkansas,6683,41667.0,ar,5095
montgomery county,arkansas,8611,41032.0,ar,5097
nevada county,arkansas,8187,42670.0,ar,5099
newton county,arkansas,7204,42817.0,ar,5101
ouachita county,arkansas,22306,43338.0,ar,5103
perry county,arkansas,9964,47500.0,ar,5105
phillips county,arkansas,15906,32235.0,ar,5107
pike county,arkansas,10066,46672.0,ar,5109
poinsett county,arkansas,22660,42854.0,ar,5111
polk county,arkansas,19353,43444.0,ar,5113
pope county,arkansas,63789,47322.0,ar,5115
prairie county,arkansas,8135,47335.0,ar,5117
pulaski county,arkansas,397821,55235.0,ar,5119
randolph county,arkansas,18865,42225.0,ar,5121
st. francis county,arkansas,22739,34981.0,ar,5123
saline county,arkansas,125233,68605.0,ar,5125
scott county,arkansas,9822,43577.0,ar,5127
searcy county,arkansas,7880,39627.0,ar,5129
sebastian county,arkansas,128400,50226.0,ar,5131
sevier county,arkansas,15783,49470.0,ar,5133
sharp county,arkansas,17622,37361.0,ar,5135
stone county,arkansas,12481,32813.0,ar,5137
union county,arkansas,38340,46444.0,ar,5139
van buren county,arkansas,15694,40763.0,ar,5141
washington county,arkansas,250057,56610.0,ar,5143
white county,arkansas,77207,46345.0,ar,5145
woodruff county,arkansas,6116,43717.0,ar,5147
yell county,arkansas,20155,51070.0,ar,5149
alameda county,california,1648556,112017.0,ca,6001
alpine county,california,1235,96000.0,ca,6003
amador county,california,41259,69955.0,ca,6005
butte county,california,208309,59863.0,ca,6007
calaveras county,california,46221,70119.0,ca,6009
colusa county,california,21917,61861.0,ca,6011
contra costa county,california,1161413,110455.0,ca,6013
del norte county,california,28100,53280.0,ca,6015
el dorado county,california,193221,88770.0,ca,6017
fresno county,california,1013581,61276.0,ca,6019
glenn county,california,28805,56332.0,ca,6021
humboldt county,california,136310,53350.0,ca,6023
imperial county,california,179851,49078.0,ca,6025
inyo county,california,18970,60925.0,ca,6027
kern county,california,917673,58824.0,ca,6029
kings county,california,153443,63267.0,ca,6031
