County,State_Abrev,Fully_Vaccinated,Boosters,FIPS_Code
wilcox county,al,50.1,31.2,1131
walker county,al,45,27.4,1127
franklin county,al,41.4,25.8,1059
winston county,al,21.1,27.3,1133
geneva county,al,36.6,26.7,1061
shelby county,al,34.1,24.6,1117
cleburne county,al,30,28.0,1029
montgomery county,al,50.1,24.9,1101
hale county,al,58,30.3,1065
choctaw county,al,62.5,28.2,1023
mobile county,al,46.6,27.6,1097
henry county,al,42.9,25.9,1067
pike county,al,39.5,23.7,1109
lauderdale county,al,43.9,29.0,1077
houston county,al,40.9,25.5,1069
morgan county,al,41.4,30.6,1103
escambia county,al,34.5,26.2,1053
pickens county,al,46.5,26.5,1107
dekalb county,al,32,27.3,1049
greene county,al,48.1,36.8,1063
autauga county,al,38.5,25.8,1001
coosa county,al,38.6,31.3,1037
st. clair county,al,37.1,26.3,1115
lowndes county,al,45.7,29.4,1085
crenshaw county,al,32.5,25.5,1041
jefferson county,al,54.4,29.8,1073
marshall county,al,43.1,26.6,1095
coffee county,al,38,24.1,1031
cullman county,al,36.5,29.0,1043
lee county,al,36.5,27.0,1081
dallas county,al,42.5,30.2,1047
marion county,al,34.8,28.7,1093
talladega county,al,34.9,29.0,1121
perry county,al,45.9,30.0,1105
calhoun county,al,45,27.2,1015
elmore county,al,42.4,23.7,1051
clay county,al,40.9,23.1,1027
clarke county,al,48.6,27.5,1025
washington county,al,43.8,25.4,1129
bullock county,al,47.7,23.8,1011
randolph county,al,31.9,28.8,1111
lawrence county,al,44.9,29.1,1079
colbert county,al,45.7,28.4,1033
cherokee county,al,30.1,29.2,1019
covington county,al,36.3,24.5,1039
monroe county,al,41.5,26.6,1099
limestone county,al,34.7,25.8,1083
barbour county,al,42,23.1,1005
blount county,al,29.6,25.2,1009
madison county,al,57.5,29.1,1089
jackson county,al,46.3,30.0,1071
marengo county,al,51.6,26.5,1091
conecuh county,al,40.3,25.1,1035
chambers county,al,29.5,29.1,1017
tuscaloosa county,al,41.4,27.5,1125
butler county,al,37.2,24.3,1013
russell county,al,37.7,23.8,1113
chilton county,al,34.3,23.7,1021
etowah county,al,39.2,28.8,1055
sumter county,al,47.7,29.4,1119
macon county,al,44.8,28.3,1087
tallapoosa county,al,37.1,33.2,1123
dale county,al,51.3,18.2,1045
fayette county,al,33.1,26.5,1057
baldwin county,al,47.6,27.6,1003
